Sex,Marital status,Age,Education,Income,Occupation,Settlement size,标签,Cluster,PC1,PC2,PC3
0,0,67,2,124670,1,2,1,1,2.2321413859488506,-1.7918450244229405,-0.32076196229887055
1,1,22,1,150773,1,2,2,2,-0.4207868030411975,1.5299337331963043,0.4828684868323293
0,0,49,1,89210,0,0,0,0,0.16363719150733447,-1.43836880182412,-0.6124437748709028
0,0,45,1,171565,1,1,0,0,1.465264484632445,0.5063800402115903,-0.30734151491416106
0,0,53,1,149031,1,1,0,0,1.5292214343370516,-0.3397808519378872,-0.2826455500855162
0,0,35,1,144848,0,0,0,0,0.33508281818491226,0.3294430532744621,-0.6184840152775285
0,0,53,1,156495,1,1,0,0,1.6597534696728127,-0.20756286735435003,-0.26551996992094024
0,0,35,1,193621,2,1,0,0,1.3957220620742576,1.4283549723311026,-0.45880646884018805
0,1,61,2,151591,0,0,1,1,2.1585631515058483,-1.1842885776857799,0.48208556635074407
0,1,28,1,174646,2,0,0,0,0.48522148764928424,1.4667725653943804,0.013142118675148029
1,1,25,1,108469,1,0,2,2,-1.0849676373318409,0.47802955953032633,0.5965434638927095
1,1,24,1,127596,1,0,2,2,-0.8077251004533976,0.8727209442341177,0.6308790960864593
1,1,22,1,108687,1,2,2,2,-1.1567958115005825,0.7844184465962583,0.38630536159032214
0,0,60,2,89374,0,0,1,1,1.109346568289544,-2.318617817747445,-0.34670022033000153
1,1,28,1,102899,1,1,2,2,-0.9288357118493716,0.316400845202625,0.7065627836627001
1,1,32,1,88428,0,0,2,2,-1.0432930308677264,-0.42584455826544926,0.5572151973249387
0,0,53,1,125550,1,0,0,0,1.0368030237634789,-0.86038605816695,-0.43067073668562583
0,0,25,0,157434,1,2,0,0,0.2337201743877369,1.2876967983088745,-0.8458835556098676
1,1,44,2,261952,2,2,1,1,3.213459755707004,1.9741347968029168,1.0018028432414288
0,0,31,0,144657,1,1,0,0,0.33945514073754973,0.6958754061523338,-0.5416618623384304
0,0,48,1,118777,1,1,0,0,0.7138602446157033,-0.596333288177358,-0.3998101224150383
0,0,44,1,147511,1,1,0,0,0.9873484178354449,0.13615920729725228,-0.37208140215858815
0,0,48,1,89804,0,0,0,0,0.11677064332714142,-1.371972688862919,-0.6206307012503156
0,0,44,1,134918,1,2,0,0,0.7814647284376893,-0.05666957400320613,-0.6772137452281392
0,1,26,1,103667,1,2,2,2,-0.891743557891104,0.48356379235023983,-0.24432964343254648
0,0,36,1,71909,0,0,2,2,-0.8832355340054273,-1.0184790637992782,-0.7762871876395738
0,1,39,1,68264,0,0,2,2,-0.8713186589980066,-1.1625832520924482,-0.07951712102473218
1,1,42,2,163025,1,1,1,1,1.2372656446517731,0.3307024025240348,1.1385340280708824
0,0,34,1,119307,1,1,0,0,-0.07843467041131937,0.1952903709901463,-0.5322914763947413
0,0,63,2,175882,1,0,1,1,2.8026066133160628,-0.796080551731396,-0.059370336943391666
0,1,36,1,159646,1,1,0,0,0.6454292969864717,0.8861967585573838,0.2558467178788639
0,0,27,0,120131,1,1,0,0,-0.318479006779934,0.48491534818117965,-0.6361341602445354
0,0,30,0,162745,1,2,0,0,0.6128728221235684,1.1024066314578893,-0.7859487992027754
0,0,57,2,87605,0,0,1,1,0.9066462729615467,-2.182332220457644,-0.37940849882038463
1,1,33,1,155569,2,1,0,0,0.39582429041358946,0.9425658651495281,0.7685865365780115
0,0,25,0,104505,0,0,2,2,-0.7966625005639942,0.05745382113388764,-0.845430691353499
0,0,31,0,143385,1,2,0,0,0.3315555311945845,0.7035878632589257,-0.8208190321706873
0,0,37,1,127676,1,1,0,0,0.23968784265730303,0.17591778257646323,-0.4844400000096367
0,0,37,1,119276,1,1,0,0,0.09278683826014394,0.027119407643222126,-0.5037131609665549
0,0,24,0,92542,1,1,2,2,-0.9727250084811038,0.16382308347380398,-0.7280844644382075
0,0,30,0,163329,2,1,0,0,0.7260235292567225,1.0550403706233005,-0.6149428191119481
0,1,26,1,130921,1,0,2,2,-0.5112427898149638,0.8314382741720738,0.000291430324844244
0,0,44,1,133658,0,0,0,0,0.6546806244617694,-0.3716431185084743,-0.5582102912714126
0,1,24,1,155104,1,1,0,0,-0.12105674799904166,1.476226657488116,0.13082767413933516
1,1,58,2,142335,0,1,1,1,1.7828813296963706,-1.0875336406057137,1.183665008086236
1,1,35,1,138387,2,1,0,0,0.2098508791158611,0.5264544477173332,0.7482633731052953
0,0,39,1,140182,1,0,0,0,0.49112691397559166,0.18104172996585977,-0.5307961244969406
1,1,23,1,65421,0,0,2,2,-1.960935318974304,-0.3305271992910899,0.4184790584088546
0,0,39,1,130500,0,0,0,0,0.3131801032101146,-0.148214511034719,-0.6132051529713329
1,1,28,1,122831,1,0,2,2,-0.6620382529117695,0.5648175259946093,0.6581454228510059
0,0,29,0,84531,0,0,2,2,-0.9169539120552702,-0.519863226196057,-0.8530602580405917
0,0,30,0,180196,2,2,0,0,1.035342648137575,1.3840687471244233,-0.8524814333968789
0,0,25,0,92058,1,2,2,2,-0.9095893569775814,0.1296203031141635,-0.995883814028854
0,0,31,0,117158,1,0,0,0,-0.22323091693933045,0.1040949772468705,-0.6989060442629327
0,0,57,2,135830,1,1,1,1,1.8404189857565498,-1.0656611156988975,-0.11441567061098967
0,0,26,0,58258,0,0,2,2,-1.5481854230675516,-0.8176437454972248,-0.9419911003510133
0,0,52,1,202575,2,2,0,0,2.539984249376463,0.667354720066703,-0.5521540184023799
1,1,31,1,183657,1,1,0,0,0.6552411830413875,1.5793336809606553,0.9205053134418942
1,1,23,1,152267,2,1,2,2,-0.2344672726548349,1.442813354150466,0.665512206883427
1,1,23,1,115240,0,0,2,2,-1.0896899453954862,0.5519711627088075,0.5327849638508436
0,1,27,1,106955,1,2,2,2,-0.7769877598216527,0.4859337855189009,-0.22723576338232943
